Activation_function,regulizer,batch_size,lambda,eta,train_err,test_err
sigmoid,l1,25,1.000000e-09,1.000000e-03,18.464417,34.998058
sigmoid,l1,25,1.000000e-08,1.000000e-03,17.692413,35.497108
sigmoid,l1,25,1.000000e-07,1.000000e-03,16.439035,36.272907
sigmoid,l1,25,1.000000e-06,1.000000e-03,25.822842,48.721104
sigmoid,l1,25,1.000000e-05,1.000000e-03,178.922714,179.032654
sigmoid,l1,25,1.000000e-04,1.000000e-03,178.922745,179.032349
sigmoid,l1,25,1.000000e-03,1.000000e-03,178.923813,179.033707
sigmoid,l1,25,1.000000e-09,1.000000e-02,13.428337,57.651386
sigmoid,l1,25,1.000000e-08,1.000000e-02,12.213080,60.369228
sigmoid,l1,25,1.000000e-07,1.000000e-02,11.750202,59.382080
sigmoid,l1,25,1.000000e-06,1.000000e-02,15.109368,66.778381
sigmoid,l1,25,1.000000e-05,1.000000e-02,13.875842,60.890068
sigmoid,l1,25,1.000000e-04,1.000000e-02,18.061214,61.404247
sigmoid,l1,25,1.000000e-03,1.000000e-02,178.958786,179.067307
sigmoid,l1,25,1.000000e-09,1.000000e-01,65.721626,84.575912
sigmoid,l1,25,1.000000e-08,1.000000e-01,72.592613,85.113487
sigmoid,l1,25,1.000000e-07,1.000000e-01,67.228752,83.004463
sigmoid,l1,25,1.000000e-06,1.000000e-01,69.293236,82.440292
sigmoid,l1,25,1.000000e-05,1.000000e-01,66.598633,79.602852
sigmoid,l1,25,1.000000e-04,1.000000e-01,77.587746,92.258430
sigmoid,l1,25,1.000000e-03,1.000000e-01,72.498940,81.959694
sigmoid,l1,25,1.000000e-09,1.000000e+00,126.652664,130.479080
sigmoid,l1,25,1.000000e-08,1.000000e+00,117.551720,119.007477
sigmoid,l1,25,1.000000e-07,1.000000e+00,121.901703,122.987350
sigmoid,l1,25,1.000000e-06,1.000000e+00,128.646866,129.215591
sigmoid,l1,25,1.000000e-05,1.000000e+00,143.775848,147.726257
sigmoid,l1,25,1.000000e-04,1.000000e+00,147.973663,152.643036
sigmoid,l1,25,1.000000e-03,1.000000e+00,180.508240,180.616302
sigmoid,l2,25,1.000000e-09,1.000000e-03,15.098608,36.587952
sigmoid,l2,25,1.000000e-08,1.000000e-03,17.798523,36.891918
sigmoid,l2,25,1.000000e-07,1.000000e-03,16.412409,35.409153
sigmoid,l2,25,1.000000e-06,1.000000e-03,19.819181,42.541027
sigmoid,l2,25,1.000000e-05,1.000000e-03,178.922577,179.032257
sigmoid,l2,25,1.000000e-04,1.000000e-03,178.922531,179.032318
sigmoid,l2,25,1.000000e-03,1.000000e-03,178.922684,179.032669
sigmoid,l2,25,1.000000e-09,1.000000e-02,12.609531,60.187305
